X,y
"[50, 309.01007, 14.409312, 27.597541897062406, 0.03471562497628522, 109.9490826212936, 0.7146523981099362, 3, 3, 0, 1, 1, 51, 297.57034, 7.8502007, 38.548370839220574, 0.029913969729478074, 113.79193731509547, 2.426940255479857, 4, 2, 0, 0, 2, 63, 379.82373, 22.839396, 45.82560649938314, 0.03636812097361447, 120.87028664580852, 3.143497027674446, 3, 2, 2, 1, 2]",3
"[63, 379.82373, 22.839396, 23.905494850052456, 0.015750535995257164, 135.23896356751692, 4.445338233124649, 5, 1, 1, 2, 3, 232, 336.26797, 63.35902, 40.33706050791286, 0.008448940305108343, 133.09037790437668, 1.4774110097538846, 4, 1, 1, 2, 0, 50, 309.01007, 14.409312, 49.64233157963694, 0.014098039997927914, 121.68797443123209, 2.016493603560139, 5, 2, 1, 0, 2]",3
"[232, 336.26797, 63.35902, 6.257355031378973, 0.003877131366487263, 110.37886129608339, 1.3782844613561724, 4, 2, 2, 1, 1, 200, 306.11386, 63.916325, 33.93105480748572, 0.0010903881994913656, 110.3161023555721, 0.2599145232702178, 2, 2, 0, 1, 1, 211, 307.984, 85.638435, 36.03512513076658, 0.06442420451022024, 110.34596191224055, 0.8958954320988233, 1, 3, 1, 1, 2]",3
"[111, 327.1692, 236.93921, 18.67702350861917, 0.0077079295427953665, 71.3781871901646, 1.1015869070325666, 3, 0, 0, 0, 3, 231, 313.4506, 247.92422, 35.81530106242837, 0.009026570378732113, 77.93510184923731, 4.24317956062236, 4, 0, 1, 0, 5, 54, 308.71475, 194.61925, 39.27853701016408, 0.06413123847581892, 103.81342497803408, 4.209453509187993, 0, 0, 3, 1, 4]",3
"[119, 333.80475, 264.93433, 3.335511540107247, 0.0007146163810280437, 116.77268792564966, 1.298844488084519, 6, 2, 2, 0, 2, 231, 313.4506, 247.92422, 29.363938100095535, 0.005861489326104696, 97.23558346753516, 0.4714195680650979, 6, 2, 1, 1, 2, 111, 327.1692, 236.93921, 32.10152727119862, 0.00454284849016795, 103.8317968075399, 2.6701730855246955, 5, 2, 2, 1, 0]",3
"[59, 355.56168, 314.0837, 3.248609224206414, 0.008260031882942775, 175.13036480008475, 0.033645693149857214, 2, 1, 0, 1, 0, 205, 355.4084, 303.81104, 13.115489805443964, 5.062499681113275e-05, 175.12780800768275, 3.1752383467396506, 2, 1, 1, 1, 1, 236, 369.40155, 304.56345, 17.140354753561564, 0.017203462142619697, 162.28131461654903, 1.253400171024485, 1, 0, 0, 1, 0]",3
"[174, 338.40817, 404.124, 14.660313396033436, 0.007722386592767805, 136.27439578131222, 2.50488839622885, 3, 1, 3, 1, 2, 61, 354.6236, 398.98022, 19.43785240730315, 0.02000213223318409, 142.55828121791848, 0.9322958845258029, 2, 0, 1, 1, 0, 172, 353.20157, 406.79013, 23.258646726543137, 0.015552148001357735, 142.66499008366037, 2.2092967690639904, 3, 0, 3, 2, 2]",3
"[102, 355.7279, 449.1936, 8.925991248700946, 0.010016988913858105, 148.24291041224592, 4.392722500131466, 1, 0, 1, 2, 0, 62, 357.1276, 441.16806, 14.712814751739213, 0.010072619771150482, 166.65778398275208, 1.2511298465416734, 4, 0, 0, 3, 1, 215, 362.70013, 459.84393, 17.240481497718967, 0.007150885676257046, 133.86712713891612, 3.640418392308258, 1, 2, 1, 2, 0]",3
"[115, 393.96204, 77.50768, 13.843232030742257, 0.012457180044017913, 103.6849451340113, 1.1092296226671017, 3, 1, 1, 2, 1, 64, 366.7253, 98.96324, 29.008106089467425, 0.05629134578008299, 90.90863063228646, 3.423261865225733, 3, 1, 1, 1, 2, 218, 417.17532, 68.8548, 36.776490415774354, 0.004799780670100229, 110.33771877097627, 0.19892636177553413, 2, 1, 1, 1, 1]",3
"[115, 393.96204, 77.50768, 23.100356455561165, 0.008090554955270834, 77.91006995872937, 5.196672854277497, 2, 4, 3, 2, 1, 218, 417.17532, 68.8548, 28.721523510187065, 0.0004331555813531507, 84.38401312766239, 3.888516869834861, 1, 2, 1, 1, 1, 133, 444.65805, 90.3825, 37.282804293317085, 0.008942668548308608, 97.3373917438563, 0.7887919000929451, 2, 2, 2, 0, 2]",3
